"Fon Kodu","Fon Adı","Fon Türü","Uygulanan Yönetim Ücreti Yıllık (%)","Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%)","Yıllık Net Getiri Oranı (%)","Yıllık Azami Fon Toplam Gider Oranı (%)"
"VGH","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","27.74","0.95"
"VGK","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","26.33","0.95"
"VGZ","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","31.58","0.95"
"VVA","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","16.16","1.09"
"VVD","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","27.51","1.09"
"VVE","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","32.9","1.09"
"VVM","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","48.1","1.09"
"VVU","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","27.74","1.09"
"VVZ","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","24.79","1.09"
"VYB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.1973","2.1973","1.66","2.28"
"YZD","ALLİANZ YAŞAM VE EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1.65","1.65","26.52","1.85"
"ZHB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.0805","2.0805","4.27","2.28"
"ZHD","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","1.8615","1.8615","23.47","1.91"
"ZHE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.23","2.23","11.24","2.28"
"ZHF","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.23","2.23","40.46","2.28"
"ZHG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Borçlanma Araçları Fonu","1.88","1.88","23.9","1.91"
