"Fon Kodu","Fon Adı","Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"AHB","ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","3,2848","-4,8677","14,3708","-1,2395","13,2055","471,5034","1.647,9810"
"AZH","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","3,3355","-4,9777","13,8507","-1,4430","13,1166","475,4063","1.669,9247"
"VEE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2444","-5,8232","13,5589","-7,7137","12,5895","298,4839","696,1706"
"KLT","KATILIM EMEKLİLİK VE HAYAT A.Ş. TEMETTÜ ÖDEYEN ŞİRKETLER KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","6,9996","-0,0512","16,0780","-1,2815","12,1764","-","-"
"ZHE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,1761","-5,1162","9,2892","-5,6255","12,1749","274,4498","592,6818"
"MHR","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,2940","-5,5950","9,5623","-3,4574","12,0083","539,4387","1.310,5050"
"HHM","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,7730","-2,2778","17,4995","-2,2664","11,8262","322,6904","1.097,1282"
"GHJ","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,2755","-4,0622","13,5936","-1,5995","11,5701","520,4308","1.473,8221"
"EIH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","3,0366","-4,9841","12,2959","-2,3264","11,3827","397,3382","1.441,6153"
"GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. YENİ TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","-0,0379","-1,9808","10,5302","-0,2037","11,3160","254,7693","-"
"MEY","METLİFE EMEKLİLİK VE HAYAT A.Ş. SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-0,7711","-6,6438","4,5553","-4,7058","11,3064","-","-"
"BEO","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","6,6141","-2,4065","12,1725","-4,9755","11,0977","345,9283","834,6239"
"FVI","HDI FİBA EMEKLİLİK VE HAYAT A.Ş ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-0,8548","-5,2995","4,5975","-3,2644","11,0941","-","-"
"AGB","BEREKET EMEKLİLİK VE HAYAT A.Ş. BÜYÜME KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,6324","-6,0832","12,3543","-6,9677","10,9069","277,7313","650,9595"
"BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","-4,5249","-4,0409","5,3599","-2,6947","10,8453","279,6673","-"
"VEH","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1,7185","-5,6474","9,6960","-4,6401","10,8157","423,7072","1.291,6436"
"HHE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","7,2835","-5,9421","14,5401","-8,9006","10,3267","388,0698","913,7828"
"GEH","GARANTİ EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","4,4620","-5,2842","11,0325","-2,1363","9,9425","484,3424","1.626,6539"
"APG","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-3,5438","-7,9013","3,0885","-5,2766","9,8454","209,0683","655,9581"
"IEF","NN HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","5,8885","-5,2193","13,0139","-4,6865","9,1909","334,8815","889,6721"
"AZY","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. TARIM VE GIDA FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-0,0254","3,6393","8,3075","4,6185","9,0554","196,2378","439,2639"
"GHH","GARANTİ EMEKLİLİK VE HAYAT A.Ş. SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","-1,0297","-8,0043","2,0418","-6,4607","8,9666","310,8158","1.150,9017"
"AVR","AGESA HAYAT VE EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ YABANCI DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","-10,0418","-12,3118","-5,5850","-8,0200","8,8371","200,4226","716,8135"
"EIE","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,1504","-4,6586","11,3598","-2,9218","8,6100","329,7557","941,8977"
"AGH","BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","5,7439","-1,5479","12,1072","-2,9662","8,2044","328,6476","1.447,5839"
"AEU","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BIST TEMETTÜ ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","3,9085","-5,3845","11,5216","-2,4839","8,1286","310,0011","1.029,8972"
"KEH","KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","5,7854","-2,3816","11,1419","-4,1642","7,7679","292,1043","1.294,6686"
"MEV","METLİFE EMEKLİLİK VE HAYAT A.Ş.TEKNOLOJİ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","0,1344","0,0000","13,5425","2,1246","7,6655","-","-"
"TBJ","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1,5790","-3,3289","14,0452","-2,8134","7,5948","313,5965","-"
"BPH","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","3,9319","-10,5527","9,1977","-8,2024","7,1015","498,1610","1.610,8959"
"HHB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BIST-30 DIŞI ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","6,4764","-1,2365","18,5469","-3,1751","7,0672","361,4159","1.051,3271"
"HHY","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","-4,2738","-8,1728","1,9405","-4,1488","6,9116","207,9813","382,4430"
"IEH","NN HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","4,0011","-10,7013","8,8223","-8,3533","6,7322","494,0793","1.592,9328"
"GED","GARANTİ EMEKLİLİK VE HAYAT A.Ş. TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","3,9805","-6,3637","10,8872","-3,9866","6,6325","126,3408","216,9759"
"GFH","AGESA HAYAT VE EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1,1997","-5,9221","6,2159","-4,4716","6,1629","296,6653","-"
"ANS","VİENNALİFE EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2,2838","-8,0697","6,2878","-7,3323","5,8320","375,9628","1.371,8718"
"CHH","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. BİRİNCİ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2,3272","-8,4549","8,2083","-5,2481","5,7714","447,5908","1.779,7460"
"CHG","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,1454","-8,5230","9,3529","-4,8054","5,4272","598,3480","2.503,6770"
"MHH","METLİFE EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","4,4353","-6,4775","10,2653","-5,4995","5,2829","465,1279","1.460,1784"
"BHS","ANADOLU HAYAT EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK  HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","-0,6537","-11,0283","2,0948","-9,0068","3,7536","321,5514","-"
"ZHB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","-0,0281","-8,2412","5,9496","-6,2093","3,3557","350,4398","1.089,6884"
"AEH","AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2,4528","-9,6821","6,2542","-6,6722","3,2296","392,8142","1.184,9821"
"VYB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1,9096","-5,8353","6,9494","-6,1432","3,0791","286,3332","1.025,3686"
"ALU","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,0013","-7,7747","8,4976","-6,2234","2,7205","371,3045","928,6804"
"BEH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1,8971","-8,3704","8,2373","-6,3358","0,1110","375,2170","1.370,0971"
"ATE","ANADOLU HAYAT EMEKLİLİK A.Ş. İŞ BANKASI İŞTİRAK ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","-3,1302","-16,4176","2,6911","-14,4984","-1,1109","386,4048","1.325,6458"
"AVH","AGESA HAYAT VE EMEKLİLİK A.Ş. BIST TEMETTÜ 25 ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","1,0904","-12,2927","3,8329","-10,7027","-2,1652","220,4473","840,7233"
"BHT","ANADOLU HAYAT EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1,1484","-10,4460","0,9231","-9,0362","-3,4255","342,3919","-"
"ALI","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KOÇ İŞTİRAK ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","-3,2037","-6,9811","-3,3595","-10,1572","-18,9814","283,4686","1.299,5446"
"MDK","ANADOLU HAYAT EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Merkezi Alacağın Devri Fonu","1,5352","-","-","-","-","-","-"
"TVG","ANADOLU HAYAT EMEKLİLİK A.Ş. TARIM VE GIDA FON SEPETİ  EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-1,8294","1,6527","6,2746","3,5644","-","-","-"
"MDD","ANADOLU HAYAT EMEKLİLİK A.Ş.MERKEZİ ALACAĞIN DEVRİ DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Merkezi Alacağın Devri Fonu","2,6844","-0,5324","13,0690","1,8086","-","-","-"
"BHK","BEREKET EMEKLİLİK VE HAYAT A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Kira Sertifikası Fonu","3,0483","-","-","-","-","-","-"
"KFE","KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-","-","-","-","-","-","-"
"KKV","KATILIM EMEKLİLİK VE HAYAT A.Ş. KISA VADELİ KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Kira Sertifikasi Katılım Fonu","3,0129","9,9145","21,8631","12,3273","-","-","-"
"KSU","KATILIM EMEKLİLİK VE HAYAT A.Ş. SÜRDÜRÜLEBİLİRLİK KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","-1,0503","-3,6270","5,4292","-2,7555","-","-","-"
"KSH","KATILIM EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","-","-","-","-","-","-","-"
"TMN","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Merkezi Alacağın Devri Fonu","0,0884","6,6939","18,0049","10,0665","-","-","-"
"MDE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Merkezi Alacağın Devri Fonu","1,9210","-","-","-","-","-","-"
